song_id,song_name,billboard,artist_updated,artist_id,popularity,explicit,song_type
2HB1jDQn9hCojKIr6Yfhze,Say Something,A Great Big World & Christina Aguilera,A Great Big World,5xKp3UyavIBUsGy3DQdXeF,21,FALSE,Collaboration
5LnXWeA9tuWKI2C1H74iiJ,Too Much,Drake,Drake,3TVXtAsR1Inumwj472S9r4,55,TRUE,Collaboration
7iwiTEn7PJYhB4vf3szzAN,We Own It (Fast & Furious),2 Chainz & Wiz Khalifa,2 Chainz,17lzZA2AlOHwCwFALHttmp,65,FALSE,Collaboration
2iJuuzV8P9Yz0VSurttIV5,Scream & Shout,will.i.am & Britney Spears,will.i.am,085pc2PYOi8bGKj0PNjekA,70,TRUE,Collaboration
1hWYT0w2R0J19rlVkiez7X,Battle Scars,Lupe Fiasco & Guy Sebastian,Guy Sebastian,5PjekOABtfU2Kwo0AHVmci,68,FALSE,Collaboration
1r44XThUCsDFToaJWVEuCB,Skyfall,Adele,Natalie Renoir,1J6oTMVgZOOKh6ytjazn87,35,FALSE,Collaboration
65rRB2mspD309xE6YimZTl,Clique,"Kanye West, Jay-Z, Big Sean",Kanye West,5K4W6rqBFWDnAN6FQUkS6x,66,TRUE,Collaboration
4qikXelSRKvoCqFcHLB2H2,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",Kanye West,5K4W6rqBFWDnAN6FQUkS6x,68,TRUE,Collaboration
4OeQM6VKvF8QQLaqvhP3qo,To The World,"Kanye West, R. Kelly",Kanye West,5K4W6rqBFWDnAN6FQUkS6x,35,TRUE,Collaboration
1DbeslBYnckTqqTcc1Y2Tg,New God Flow,Pusha T Kanye West,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,51,TRUE,Collaboration
01hJnhpAmjzg85Etnz2ECH,Body and Soul,Tony Bennett & Amy Winehouse,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,55,FALSE,Collaboration
6qLl3OmST6aWsEuxePXCPE,Boyfriend,Big Time Rush,Big Time Rush,0GWCNkPi54upO9WLlwjAHd,46,FALSE,Collaboration
4CUoHBtNOGvJPiKAtaeQeM,I feel pretty unpretty,Glee Cast,Made famous by Glee Cast,0oAkVF91ZMDgLOKqatvTWo,0,FALSE,Collaboration
1HsLArO4EomHmnXkIqxZEp,Somewhere only we know,Glee Cast,Made famous by Glee Cast,0oAkVF91ZMDgLOKqatvTWo,0,FALSE,Collaboration
3eeyKKtXwcw1gmP7iDypqz,Time after time,Javier Colon,Made famous by Javier Colon,3QWtlPdpaNnvDRaFq5gKsV,1,FALSE,Collaboration
77tvyAdaJIlr9xX657QoKi,As if we never said goodbye,Glee Cast,Made famous by Glee Cast,0oAkVF91ZMDgLOKqatvTWo,0,FALSE,Collaboration
2XkZMkWmzVTDChykFbndyr,Loser like me,Glee Cast,Made famous by Glee Cast,0oAkVF91ZMDgLOKqatvTWo,0,FALSE,Collaboration
6RiBoYJmzjPIUBeoqCR0CS,Get it right,Glee Cast,Made famous by Glee Cast,0oAkVF91ZMDgLOKqatvTWo,0,FALSE,Collaboration
0liIUFJL2SmSzq8wJ7U6fY,Blackbird,Glee Cast,Made famous by Glee Cast,0oAkVF91ZMDgLOKqatvTWo,0,FALSE,Collaboration
6tPzU2DrNFLB4YVBfotypo,Hell to the No,Glee Cast,Made famous by Glee Cast,0oAkVF91ZMDgLOKqatvTWo,0,FALSE,Collaboration
32XCy35qC0xe8Cs0mbJpYu,Hey soul sister,Glee Cast,Made famous by Glee Cast,0oAkVF91ZMDgLOKqatvTWo,0,FALSE,Collaboration
2DPYlWl50ydYsnnuryL5aX,Cooler Than Me,Mike Posner,Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,62,FALSE,Collaboration
0xUHUmWSil967FF5yqDHqi,Long Live,Taylor Swift,Taylor Swift,06HL4z0CvFAxyc27GXpf02,37,FALSE,Collaboration
3C9UV0uRiF3DAKe1tCWIdU,I'm Single,Lil Wayne,Lil Wayne,55Aa2cqylxrFIXC767Z865,50,TRUE,Collaboration
0uqGXycobxJaUqe8bkuhLq,I Wanna Rock,Snoop Dogg,Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,34,TRUE,Collaboration
3q3pZHncNkvIWJebMeuQqQ,Hero,Christopher Wilde,Christopher Wilde,533HtQP5btWIZcKlHJtEWK,57,FALSE,Collaboration
36JWGQRW85mJYLXvnryEzL,Day 'N' Nite,Kid Cudi,Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,47,FALSE,Collaboration
01Ynfp1UOc9Tep3a25ySqX,Hot Revolver,Lil Wayne,Lil Wayne,55Aa2cqylxrFIXC767Z865,26,TRUE,Collaboration
5YjgVuV9iWUwOy8DNu5x59,Another Way to Die,Jack White & Alicia Keys,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,23,FALSE,Collaboration
6wtcR8APXJAtPXb6LV96ia,JUST STAND UP!,Artists Stand Up To Cancer,Artists Stand Up To Cancer,5UHeeAHp48bScX1RfoUt8m,35,FALSE,Collaboration
4U5CjTT6uObhD2vwnD4zOF,Corona And Lime,Shwayze,Shwayze,6f0hUHWLOCxCSDQMtdVAS7,55,TRUE,Collaboration
3EXoXwJg7YCKBG0GZbJFqB,No Air,Jordin Sparks Duet With Chris Brown,Jordin Sparks,2AQjGvtT0pFYfxR3neFcvz,41,FALSE,Collaboration
3c1fI9dVeR0nKFkOYh3Sj0,I Like The Way She Do It,G Unit,G-Unit,6evKD5JWJON3qPBJtUEmtY,43,TRUE,Collaboration
0xnjEtFD0v79s6gthZ6cFJ,Bartender,T-Pain Featuring Akon,T-Pain,3aQeKQSyrW4qWr35idm0cy,20,TRUE,Collaboration
73njvNJmgXA180vTPkA16C,Find out Who Your Friends Are,Tracy Lawrence,Tracy Lawrence,2BQVRw9md4UKcGUrDXABCD,55,FALSE,Collaboration
6KkgMUZByjWIbgH1841OVS,Get It Shawty,Lloyd,Lloyd,1Xfmvd48oOhEWkscWyEbh9,14,TRUE,Collaboration
6Q44rxzH39y2tjic98Spo5,Fergalicious,Fergie,Fergie,3r17AfJCCUqC9Lf0OAc73G,63,TRUE,Collaboration
6XqpH9bHj7ODY1z4xI9n7E,If We Were A Movie,Hannah Montana,Hannah Montana,7nU4hB040gTmHm45YYMvqc,50,FALSE,Collaboration
7707HOYVAMYlG9VJB60SW9,S.E.X.,Lyfe Jennings,Lyfe Jennings,33C3ByGk9NCrjTIXr6npqf,38,FALSE,Collaboration
0iElCFmbU4NatTWjqsct7X,It's Goin' Down,Yung Joc,Yung Joc,23LbwefIODbyGdRbAz3urj,0,TRUE,Collaboration
1srGZiB4G4At62z2Z8wYL9,Superman,Brown Boy,Brown Boy,0Ug6OsFk2B0mLvXrpmpRs6,46,FALSE,Collaboration
5439qJTu5mVH9aeriwp03u,Who Says You Can't Go Home,Bon Jovi,Bon Jovi,58lV9VcRSjABbAbfWS6skp,54,FALSE,Collaboration
5VknTitqmNlYucokTQbMye,Always On Your Side,Sheryl Crow & Sting,Sheryl Crow,4TKTii6gnOnUXQHyuo9JaD,16,FALSE,Collaboration
4TivbqZf2RFik3HA1NjM2t,Good Times,Tommy Lee,Tommy Lee,4b9L0p4cMof32XvjwT9YrX,28,FALSE,Collaboration
7ANroj1yWw0YEGcLf7HO3Q,Free Yourself,Fantasia,Fantasia,7xAcVHPiirnUqfdqo0USb1,49,FALSE,Collaboration
6A1yZW5SLd9hpLZsG29hCQ,Let Me Go,3 Doors Down,3 Doors Down,2RTUTCvo6onsAnheUk3aL9,50,FALSE,Collaboration
0sNY3XS9Tz1P957KZrQ6GZ,It's Like That,Mariah Carey,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,56,FALSE,Collaboration
